user_need_id,system_requirement_id,risk_id,verification_id,validation_id,status,notes
UN-001,SYS-005,,,,Draft,
UN-002,SYS-008,,,,Draft,
UN-003,SYS-012;SYS-013;SYS-014,,,,Draft,
UN-004,SYS-015;SYS-016,,,,Draft,
UN-005,SYS-001;SYS-002;SYS-006,,,,Draft,
UN-006,SYS-007,,,,Draft,
UN-007,SYS-004,,,,Draft,
UN-008,SYS-009,,,,Draft,
UN-009,SYS-010,,,,Draft,
UN-010,SYS-011;SYS-020;SYS-021;SYS-022;SYS-023;SYS-024;SYS-025,,,,Draft,
UN-011,SYS-027;SYS-033;SYS-034,,,,Draft,
UN-012,SYS-017;SYS-018;SYS-019,,,,Draft,
UN-014,SYS-028,,,,Draft,
UN-015,SYS-026,,,,Draft,
UN-016,SYS-003;SYS-004,,,,Draft,
UN-020,SYS-029;SYS-030;SYS-031;SYS-032,,,,Draft,
